title,type,attribute,id,old_link,new_link
Aktuelle Pilot- und Demonstrationsprojekte des Bundesamts für Energie,resources,download_url,ff6a28fe-f691-4ee1-87df-50ef4d8decf6,https://data.geo.admin.ch/ch.bfe.energieforschung/gpkg/2056/ch.bfe.energieforschung.zip,-
Aktuelle Pilot- und Demonstrationsprojekte des Bundesamts für Energie,resources,url,ff6a28fe-f691-4ee1-87df-50ef4d8decf6,https://data.geo.admin.ch/ch.bfe.energieforschung/gpkg/2056/ch.bfe.energieforschung.zip,-
Analyse des schweizerischen Energieverbrauchs nach Verwendungszwecken,dataset,url,cd67848c-9051-44e1-9e72-11c153b46abb,http://www.bfe.admin.ch/ogd3,https://www.bfe.admin.ch/ogd3
Analyse des schweizerischen Energieverbrauchs nach Verwendungszwecken,resources,url,d904c440-fdb6-4e98-baff-52f73b1f6a06,http://www.bfe.admin.ch/ogd3,https://www.bfe.admin.ch/ogd3
Angebote der Innovationsförderung im Energiebereich für Schweizer Firmen und Forschungsinstitute,dataset,url,44f9dd93-6bd0-4d56-8650-e472b44b72b0,http://www.bfe.admin.ch/ogd4,https://www.bfe.admin.ch/ogd4
Angebote der Innovationsförderung im Energiebereich für Schweizer Firmen und Forschungsinstitute,resources,url,7984270f-76e8-472d-879f-f1b8557a6dde,http://www.bfe.admin.ch/ogd4,https://www.bfe.admin.ch/ogd4
Beteiligung des BFE an internationalen Energieforschungsprogrammen,dataset,url,02169deb-6abb-40e1-9d1b-429cfcdc66ef,http://www.bfe.admin.ch/ogd5,https://www.bfe.admin.ch/ogd5
Beteiligung des BFE an internationalen Energieforschungsprogrammen,resources,url,c21769c5-f583-4fe0-8c1e-d2b18f88c3f0,http://www.bfe.admin.ch/ogd5,https://www.bfe.admin.ch/ogd5
Bezügerinnen und Bezüger der kostendeckenden Einspeisevergütung (KEV),dataset,url,034ea2f6-5d55-4721-b490-47c1a5d03d24,http://www.bfe.admin.ch/ogd6,https://www.bfe.admin.ch/ogd6
Bezügerinnen und Bezüger der kostendeckenden Einspeisevergütung (KEV),resources,url,a0975a98-58e5-447e-b510-c2d4bab440e0,http://www.bfe.admin.ch/ogd6,https://www.bfe.admin.ch/ogd6
"Eignung von Hausdächern für die Nutzung von Sonnenenergie, generalisierte Geodaten von Sonnendach.ch",resources,download_url,6f4342e7-2227-4631-b089-306585393354,http://data.geo.admin.ch/ch.bfe.solarenergie-eignung-daecher/gdb/2056/ch.bfe.solarenergie-eignung-daecher_generalisiert.zip,-
"Eignung von Hausdächern für die Nutzung von Sonnenenergie, generalisierte Geodaten von Sonnendach.ch",resources,url,6f4342e7-2227-4631-b089-306585393354,http://data.geo.admin.ch/ch.bfe.solarenergie-eignung-daecher/gdb/2056/ch.bfe.solarenergie-eignung-daecher_generalisiert.zip,-
Einmalvergütung für Photovoltaikanlagen,dataset,url,5b4852e4-60a7-45f2-bd37-f3d1f16763ed,www.bfe.admin.ch/eiv,https://www.bfe.admin.ch/eiv
Einmalvergütung für Photovoltaikanlagen,resources,download_url,f7d17ecd-86cd-4e3f-bd71-85d75bc37403,https://www.uvek-gis.admin.ch/BFE/ogd/84/ogd84_einmalverguetung.csv,-
Einmalvergütung für Photovoltaikanlagen,resources,url,f7d17ecd-86cd-4e3f-bd71-85d75bc37403,https://www.uvek-gis.admin.ch/BFE/ogd/84/ogd84_einmalverguetung.csv,-
Einmalvergütung für Photovoltaikanlagen,resources,url,b01eed3f-6d1c-4f31-833e-25822072f7d5,https://lindas.admin.ch/sfoe/cube,-
Elektrizitätsverbrauch der Ohm'schen Widerstandsheizungen in den privaten Haushalten,dataset,url,70ad3b04-619f-4ad6-80f1-d99ba7b1dbc4,http://www.bfe.admin.ch/ogd9,https://www.bfe.admin.ch/ogd9
Elektrizitätsverbrauch der Ohm'schen Widerstandsheizungen in den privaten Haushalten,resources,url,7dbe5174-8291-48e0-b27a-6892521298a6,http://www.bfe.admin.ch/ogd9,https://www.bfe.admin.ch/ogd9
Energieforschungsstatistik (EFstat),dataset,url,62a05547-ee27-446f-8f80-96b9a3555a24,http://www.bfe.admin.ch/ogd10,https://www.bfe.admin.ch/ogd10
Energieforschungsstatistik (EFstat),resources,url,c95f03a0-2362-4c6f-8af1-c940bfa3a629,http://www.bfe.admin.ch/ogd10,https://www.bfe.admin.ch/ogd10
Energiestädte auf dem Weg in die 2000-Watt Gesellschaft,dataset,url,fdf08159-b7fd-44ba-aaf4-668154f41a43,http://www.bfe.admin.ch/geoinformation/05061/06360/index.html?lang=de,-
Energiestädte auf dem Weg in die 2000-Watt Gesellschaft,resources,download_url,cb856e06-2bbd-4ec9-b284-3ffbf075f3eb,http://data.geo.admin.ch/ch.bfe.energiestaedte-2000watt-aufdemweg/,-
Energiestädte auf dem Weg in die 2000-Watt Gesellschaft,resources,url,cb856e06-2bbd-4ec9-b284-3ffbf075f3eb,http://data.geo.admin.ch/ch.bfe.energiestaedte-2000watt-aufdemweg/,-
Energieverbrauch in der Industrie und im Dienstleistungssektor,dataset,url,5e284d50-a432-44c3-a97e-e9b587c2cf0c,http://www.bfe.admin.ch/ogd14,https://www.bfe.admin.ch/ogd14
Energieverbrauch in der Industrie und im Dienstleistungssektor,resources,url,af7ee071-5681-4bcd-b536-d7e203426704,http://www.bfe.admin.ch/ogd14,https://www.bfe.admin.ch/ogd14
Ex-Post-Analyse des Energieverbrauchs der schweizerischen Haushalte nach Bestimmungsfaktoren und Verwendungszwecken,dataset,url,add4859f-8366-4e5e-a60c-5ef4502c732a,http://www.bfe.admin.ch/ogd15,https://www.bfe.admin.ch/ogd15
Ex-Post-Analyse des Energieverbrauchs der schweizerischen Haushalte nach Bestimmungsfaktoren und Verwendungszwecken,resources,url,47c1aeee-24d8-4e29-90cb-b38cdfad67cc,http://www.bfe.admin.ch/ogd15,https://www.bfe.admin.ch/ogd15
