title,type,attribute,id,old_link,new_link
Analyse des schweizerischen Energieverbrauchs nach Verwendungszwecken,dataset,url,4c963c00-a88e-48f4-98ef-d054af455c2f,http://www.bfe.admin.ch/ogd3,https://www.bfe.admin.ch/ogd3
Angebote der Innovationsförderung im Energiebereich für Schweizer Firmen und Forschungsinstitute,dataset,url,1d38a201-8edf-451b-a287-f734e7bc7a07,http://www.bfe.admin.ch/ogd4,https://www.bfe.admin.ch/ogd4
Beteiligung des BFE an internationalen Energieforschungsprogrammen,dataset,url,50e09d17-c87f-4cb5-9f7b-2803210a0343,http://www.bfe.admin.ch/ogd5,https://www.bfe.admin.ch/ogd5
Energieforschungsstatistik (EFstat),dataset,url,fe606459-cccb-4962-80ab-8d6697ad8401,http://www.bfe.admin.ch/ogd10,https://www.bfe.admin.ch/ogd10
Energieforschungsstatistik (EFstat),resources,url,1f8e2d1f-eb07-4e41-bd47-fca49d982025,https://lindas.admin.ch/sfoe/cube,-
Energieforschungsstatistik (EFstat),resources,url,a4b985de-3c1e-4205-8ca5-6dffcb18395f,https://lindas.admin.ch/sfoe/cube,-
Energieverbrauchsstatistik in der Industrie und im Dienstleistungssektor,dataset,url,954b6e0b-eb35-4f3c-87f5-96e055c04b31,http://www.bfe.admin.ch/ogd14,https://www.bfe.admin.ch/ogd14
Ex-Post-Analyse des Energieverbrauchs der schweizerischen Haushalte nach Bestimmungsfaktoren und Verwendungszwecken,dataset,url,4fbb2aee-19c5-471d-9113-ae41c6cb6adf,http://www.bfe.admin.ch/ogd15,https://www.bfe.admin.ch/ogd15
Ex-Post-Analyse des schweizerischen Energieverbrauchs nach Bestimmungsfaktoren,dataset,url,912f238a-7783-42b3-bd90-24432751af90,http://www.bfe.admin.ch/ogd16,https://www.bfe.admin.ch/ogd16
"Füllungsgrad der Speicherseen, Sonntag 24h, Wochenbericht Speicherinhalt",dataset,url,5ad2f1c1-12ec-440c-8ab2-b51f44ba3883,http://www.bfe.admin.ch/ogd17,https://www.bfe.admin.ch/ogd17
"Füllungsgrad der Speicherseen, Sonntag 24h, Wochenbericht Speicherinhalt",resources,url,a2c8d73d-07b3-4e06-81f0-53b0b019b64b,http://www.bfe.admin.ch/ogd17,https://www.bfe.admin.ch/ogd17
Gesamte Erzeugung und Abgabe elektrischer Energie in der Schweiz,dataset,url,9f1157a8-4bfa-45b8-a6d3-05859efaffef,http://www.bfe.admin.ch/ogd19,https://www.bfe.admin.ch/ogd19
Globalbeiträge an die Kantone nach Art. 15 EnG: Wirkungsanalyse kantonaler Förderprogramme - Ergebnisse,dataset,url,a2ae29e7-1642-4146-9db7-d485838377da,http://www.bfe.admin.ch/ogd20,https://www.bfe.admin.ch/ogd20
Impulsberatung erneuerbar heizen: MFH mit mehr als 6 Wohneinheiten,resources,download_url,e3774f7d-7155-432c-a042-5801fd5b1275,http://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/csv/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip,https://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/csv/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip
Impulsberatung erneuerbar heizen: MFH mit mehr als 6 Wohneinheiten,resources,download_url,316272ba-6b22-4985-9f36-04c65203e810,http://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/xtf/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip,https://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/xtf/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip
Impulsberatung erneuerbar heizen: MFH mit mehr als 6 Wohneinheiten,resources,url,e3774f7d-7155-432c-a042-5801fd5b1275,http://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/csv/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip,https://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/csv/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip
Impulsberatung erneuerbar heizen: MFH mit mehr als 6 Wohneinheiten,resources,url,316272ba-6b22-4985-9f36-04c65203e810,http://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/xtf/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip,https://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/xtf/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip
Kennzahlen öffentliche Ladeinfrastruktur Elektromobilität,dataset,url,9b2bec09-2486-443d-96a2-03eadf4cad0b,http://www.ich-tanke-strom.ch/kennzahlen,https://www.ich-tanke-strom.ch/kennzahlen
