title,type,attribute,id,old_link,new_link
Potenzial der Seen und Flüsse für Wärmeentzug und Wärmeeinleitung,dataset,relations,c13ffb0b-563b-4380-a538-95afb67fc09d,www.bfe.admin.ch/potenzial-waermenutzung-gewaesser,https://www.bfe.admin.ch/potenzial-waermenutzung-gewaesser
Kennzahlen Shared Mobility,dataset,url,75b319b5-a7bc-40fc-80e9-579b02e46c02,http://bfe.admin.ch/shared-mobility-angebote,https://bfe.admin.ch/shared-mobility-angebote
Kennzahlen Shared Mobility,dataset,relations,75b319b5-a7bc-40fc-80e9-579b02e46c02,www.sharedmobility.ch/info,https://www.sharedmobility.ch/info
energiedashboard.ch: Stromverbrauch Prognose SDSC,dataset,url,1bcdc4fe-3e5d-42c2-bcb7-446595653265,www.bfe.admin.ch/digitalisierung,https://www.bfe.admin.ch/digitalisierung
Einmalvergütung für Photovoltaikanlagen,dataset,url,5b4852e4-60a7-45f2-bd37-f3d1f16763ed,www.bfe.admin.ch/eiv,https://www.bfe.admin.ch/eiv
"Füllungsgrad der Speicherseen, Sonntag 24h, Wochenbericht Speicherinhalt",dataset,url,9eeece7f-56b1-4665-9696-9f07d36dc764,http://www.bfe.admin.ch/ogd17,https://www.bfe.admin.ch/ogd17
"Referenz-Marktpreise gemäss Art. 15, EnFV",dataset,url,9a8e7a2c-2404-4a1e-a1e9-d71c178b04d1,http://www.bfe.admin.ch/kev,https://www.bfe.admin.ch/kev
Licht-Markt Schweiz,dataset,url,5aded67c-e8d9-401b-b976-ebb558fb8d19,http://www.bfe.admin.ch/ogd25,https://www.bfe.admin.ch/ogd25
Angebote der Innovationsförderung im Energiebereich für Schweizer Firmen und Forschungsinstitute,dataset,url,44f9dd93-6bd0-4d56-8650-e472b44b72b0,http://www.bfe.admin.ch/ogd4,https://www.bfe.admin.ch/ogd4
Analyse des schweizerischen Energieverbrauchs nach Verwendungszwecken,dataset,url,cd67848c-9051-44e1-9e72-11c153b46abb,http://www.bfe.admin.ch/ogd3,https://www.bfe.admin.ch/ogd3
Beteiligung des BFE an internationalen Energieforschungsprogrammen,dataset,url,02169deb-6abb-40e1-9d1b-429cfcdc66ef,http://www.bfe.admin.ch/ogd5,https://www.bfe.admin.ch/ogd5
Bezügerinnen und Bezüger der kostendeckenden Einspeisevergütung (KEV),dataset,url,034ea2f6-5d55-4721-b490-47c1a5d03d24,http://www.bfe.admin.ch/ogd6,https://www.bfe.admin.ch/ogd6
Elektrizitätsverbrauch der Ohm'schen Widerstandsheizungen in den privaten Haushalten,dataset,url,70ad3b04-619f-4ad6-80f1-d99ba7b1dbc4,http://www.bfe.admin.ch/ogd9,https://www.bfe.admin.ch/ogd9
Energieforschungsstatistik (EFstat),dataset,url,62a05547-ee27-446f-8f80-96b9a3555a24,http://www.bfe.admin.ch/ogd10,https://www.bfe.admin.ch/ogd10
Energieverbrauch in der Industrie und im Dienstleistungssektor,dataset,url,5e284d50-a432-44c3-a97e-e9b587c2cf0c,http://www.bfe.admin.ch/ogd14,https://www.bfe.admin.ch/ogd14
